Autor_Art,Autor_Ref,Decada,Num_Ref
S E Melo Martinez,Weeks D L,2000,1
L A Lopez P,Myers R H,2000,1
L A Lopez P,Mitra S R,2000,1
O O Melo Martinez,Srivastava J Ñ,2000,1
O O Melo Martinez,Myers R H,2000,1
O O Melo Martinez,Montgomery D C,2000,1
O O Melo Martinez,Rao C R,2000,2
O O Melo Martinez,Mitra S R,2000,1
O O Melo Martinez,Hackney O P,2000,1
E Navarrete Alvarez,Hougaard P,2000,3
E Navarrete Alvarez,Manton K G,2000,1
E Navarrete Alvarez,Stallard E,2000,1
E Navarrete Alvarez,Wassel J T,2000,1
J A Jimenez Moscoso,John J A,2000,1
J A Jimenez Moscoso,Jiménez J A,2000,2
J C Correa M,Dudewicz E J,2000,1
J C Correa M,Efron B,2000,2
J C Correa M,Johnson N L,2000,1
J C Correa M,Kotz S,2000,1
J C Correa M,Serfling R J,2000,1
P A Cardona Hernandez,Breiman L,2000,1
P A Cardona Hernandez,Comite B,2000,2
P A Cardona Hernandez,Elizondo A,2000,1
P A Cardona Hernandez,Kass G V,2000,1
P A Cardona Hernandez,Wilson S R,2000,1
P A Cardona Hernandez,Press S J,2000,1
A J Lemonte,Jennings D E,2000,1
L H Vanegas,Doornik J A,2000,1
L H Vanegas,Donner A,2000,1
L H Vanegas,Lemeshow S,2000,1
E R Gonzalez,Kaiser R,2000,1
E R Gonzalez,Shepard R N,2000,1
E R Gonzalez,Shin Y,2000,1
F H Nieto,Koopman S J,2000,1
F H Nieto,Shin Y,2000,1
F H Nieto,MäKeläInen T,2000,1
J A Fuquene P,Conover W J,2000,2
J A Fuquene P,Fúquene J,2000,4
J A Fuquene P,Ríos S,2000,2
J L Bautista S,Cochran W G,2000,1
J L Bautista S,Conover W J,2000,1
J L Bautista S,Swensson B,2000,1
J C Correa,Smith A F M,2000,1
J C Correa,Geman S,2000,1
L Bautista Sierra,Bautista L,2000,3
L Bautista Sierra,Folsom R,2000,1
L Bautista Sierra,Weeks M,2000,1
L Bautista Sierra,Dane,2000,1
L Bautista Sierra,Mcmanus J,2000,1
M Montero Diaz,Clayton D G,2000,1
M Montero Diaz,Hansen P C,2000,1
M Montero Diaz,Longford N,2000,1
V Guerra Ones,Clayton D G,2000,1
V Guerra Ones,Grizzle J E,2000,1
V Guerra Ones,Ojeda M M,2000,2
V Arunachalam,Albright N W,2000,1
V Arunachalam,Gandolfi A,2000,1
V Arunachalam,Braby L A,2000,1
V Arunachalam,Goodhead D T,2000,1
V Arunachalam,Rangan A,2000,2
A Cavanzo Nisso,Billingsley P,2000,1
A Cavanzo Nisso,Embrechts P,2000,1
A Cavanzo Nisso,Feller W,2000,2
L Blanco Castañeda,Delgado R,2000,1
L Blanco Castañeda,Embrechts P,2000,1
L Blanco Castañeda,Mandelbrot B,2000,1
L Blanco Castañeda,Taqqu M S,2000,1
L Blanco Castañeda,Vervaat W,2000,1
A P Briñez,Maravall A,2000,1
A P Briñez,Ruiz F,2000,1
A P Briñez,Tong H L,2000,1
F H Nieto,F H Nieto,2000,2
F H Nieto,Ruiz F,2000,1
R Ospina Martinez,Cleveland R B,2000,1
J A Jimenez Moscoso,Dunn O J,2000,1
C A Cristancho F,Derringer G,2000,1
C A Cristancho F,Conlon M,2000,1
C A Cristancho F,Myers R H,2000,1
C A Cristancho F,Carter W H,2000,1
C A Cristancho F,Mesa O,2000,1
C A Cristancho F,Tang L C,2000,1
C A Cristancho F,Vinning G G,2000,1
O O Melo M,Derringer G,2000,1
O O Melo M,Myers R H,2000,1
O O Melo M,Smith R L,2000,1
O O Melo M,Jaramillo P,2000,1
O O Melo M,Valencia D,2000,1
O O Melo M,Vinning G G,2000,1
G Ramirez,Mason R L,2000,1
G Ramirez,Raveh A,2000,1
G Ramirez,Whitakker J,2000,1
M Vasquez,Belsley D,2000,1
M Vasquez,Cornsten L,2000,1
M Vasquez,Jackson J E,2000,1
M Vasquez,Mandell J,2000,1
M Vasquez,Mason R L,2000,1
M Vasquez,Landaeta M,2000,1
M Vasquez,Ramírez G,2000,1
M Vasquez,Yu C M,2000,1
A Camardiel,Slinker B,2000,1
A Camardiel,Gleason T,2000,1
A Camardiel,Staelin R,2000,1
A Camardiel,Tomei C,2000,1
B Perez,Belsley D,2000,1
B Perez,Glauber R,2000,1
B Perez,Gleason T,2000,1
B Perez,Mandell J,2000,1
B Perez,Pérez B S,2000,1
B Perez,Raveh A,2000,1
P Galindo,Belsley D,2000,1
P Galindo,Cornsten L,2000,1
P Galindo,Gabriel K,2000,2
P Galindo,Webster J T,2000,1
P Galindo,Tomei C,2000,1
P Galindo,Yu C M,2000,1
H M Mora Escobar,Cadre B,2000,1
H M Mora Escobar,Cheney E,2000,1
H M Mora Escobar,Du Merle O,2000,1
H M Mora Escobar,Vial J P,2000,1
H M Mora Escobar,Basset G J,2000,1
H M Mora Escobar,Arenales M,2000,1
T Montaño P,Lawless J F,2000,1
T Montaño P,Steiner S H,2000,1
T Montaño P,Zhang L,2000,1
L Blanco Castañeda,Bardina X,2000,2
L Blanco Castañeda,GarzóN J,2000,1
L Blanco Castañeda,Oksendal B,2000,1
L Blanco Castañeda,Zhang T,2000,1
L Blanco Castañeda,Viens F,2000,1
J Garzon Merchan,Ouknine Y,2000,1
J Garzon Merchan,GarzóN J,2000,1
R E Borges P,Burton P R,2000,1
R E Borges P,Harrington D P,2000,1
R E Borges P,Turrenne M Ñ,2000,1
R E Borges P,Wolfe R A,2000,2
R E Borges P,Hosmer D W,2000,1
R E Borges P,Lemeshow S,2000,1
R E Borges P,Insightful Corporation,2000,1
R E Borges P,Shiohira Y,2000,1
R E Borges P,Kowatari T,2000,1
R E Borges P,Kaplan E L,2000,1
R E Borges P,Meier P,2000,1
R E Borges P,Bandeen Roche K,2000,1
R E Borges P,Cavalli P,2000,1
R E Borges P,Giangrande A,2000,1
R E Borges P,Poisetti P,2000,1
R E Borges P,R Development Core Team,2000,1
R E Borges P,Therneau T M,2000,2
Z Cepeda,Siegfried W,2000,1
E Cepeda C,American Public Health Association,2000,1
D C Franco,Allan F,2000,1
D C Franco,Barroso L P,2000,2
D C Franco,Searle S R,2000,6
D C Franco,Lindstrom M J,2000,1
D C Franco,Little R J A,2000,1
D C Franco,Mcculloch C E,2000,2
D C Franco,Thomsen I,2000,1
D C Franco,Yates F,2000,1
O O Melo,Wishart J,2000,1
O O Melo,Barroso L P,2000,1
O O Melo,Gallo J,2000,1
O O Melo,Harville D A,2000,1
O O Melo,Hocking R R,2000,1
O O Melo,Lindstrom M J,2000,1
O O Melo,Johnson D E,2000,1
O O Melo,Casella G,2000,1
O O Melo,Mcculloch C E,2000,1
J A Jimenez M,Herazo C A,2000,1
J A Jimenez M,Mosteller F,2000,1
J A Jimenez M,Peters S,2000,1
J A Jimenez M,Iglewicz B,2000,1
J Martinez,Herazo C A,2000,1
J Martinez,Tukey J M,2000,2
J C Correa,Fligner M,2000,1
J C Correa,Killeen T,2000,1
J C Correa,Mandasky A,2000,1
J C Correa,Pardo M,2000,1
J C Correa,Esteban M,2000,1
J C Correa,Myers R H,2000,1
R Iral,Conover W,2000,1
R Iral,Johnson M A,2000,1
R Iral,Fligner M,2000,1
R Iral,Killeen T,2000,1
L Rojas,Forsythe A B,2000,1
L Rojas,Johnson M E,2000,1
L Rojas,Fligner M,2000,1
L Rojas,Mandasky A,2000,1
L Rojas,Milliken G A,2000,1
L Rojas,Johnson D E,2000,1
L Rojas,Esteban M,2000,1
L Rojas,Myers R H,2000,1
J C Santana,Barnard G A,2000,1
J C Santana,Jenkins G M,2000,2
J C Santana,Reinsel G C,2000,1
J C Santana,Rumelhart D E,2000,4
J C Santana,Hornik K,2000,1
J C Santana,Stinchcombe M,2000,1
J C Santana,Isasi P,2000,1
J C Santana,Kaastra I,2000,1
J C Santana,Kaiser R,2000,1
J C Santana,Li W K,2000,1
J C Santana,LóPez E,2000,2
J C Santana,Arango C,2000,1
J C Santana,Morettin P A,2000,1
J C Santana,Ospina R M,2000,1
J C Santana,Zamprogno B,2000,1
J C Santana,Hilton G,2000,2
J C Santana,Zhang G,2000,1
J C Santana,Patuwo B,2000,1
J E Ortiz,Sas Institute,2000,2
J E Ortiz,Särndal C E,2000,1
J M Julio,Whitley R J,2000,1
J M Julio,GóMez J,2000,3
J M Julio,Julio J,2000,3
J M Julio,Uribe J,2000,1
J M Julio,Hamman F,2000,1
J M Julio,Restrepo P,2000,1
J M Julio,Vega M,2000,2
R A Perez,Bouroche J,2000,1
R A Perez,Groupe Geri,2000,1
R A Perez,Lavit C,2000,1
R A Perez,PéRez R A,2000,1
R A Perez,Lera L,2000,1
L Lera,Lavit C,2000,1
A Boquet,Bouroche J,2000,1
A Boquet,Groupe Geri,2000,1
A Boquet,Lavit C,2000,1
A Boquet,PéRez R A,2000,1
A Boquet,Orstom,2000,1
H Gutierrez,Smith A F M,2000,1
H Gutierrez,Del Castillo E,2000,1
H Gutierrez,Grayson J,2000,1
H Gutierrez,GutiéRrez H,2000,4
H Gutierrez,Aguirre V,2000,1
H Gutierrez,Heimann P,2000,1
H J Llinas,Agresti Alan,2000,1
H J Llinas,C F M,2000,1
H J Llinas,Mc Cullagh P,2000,2
H J Llinas,Wedderburn R W M,2000,2
H J Llinas,Zacks S,2000,1
H Knolle,Britton T,2000,1
H Knolle,Dietz K,2000,2
H Knolle,Hadeler K P,2000,2
H Knolle,Tudor D,2000,1
H Knolle,Instituto Nacional De Salud,2000,1
H Knolle,Peterman T,2000,1
H Knolle,Stoneburner R,2000,1
J Nobre,Berger R L,2000,1
J Nobre,Mathew T,2000,1
J Nobre,Searle S R,2000,1
C Azevedo,Harville D A,2000,1
C Azevedo,Khuri A I,2000,1
C Azevedo,Sinha B K,2000,1
C Azevedo,Romano J P,2000,1
C Azevedo,Kent J T,2000,1
C Azevedo,Bibby J M,2000,1
C Azevedo,Prabakaran T,2000,1
C Azevedo,Scheffé H,2000,1
L F Grajales,Matthews J,2000,1
L F Grajales,Sas,2000,1
L A Lopez P,Barroso L P,2000,2
L A Lopez P,Bussab W O,2000,2
L A Lopez P,Carriere K,2000,1
L A Lopez P,Ebbutt A,2000,1
L A Lopez P,Little R J A,2000,1
L A Lopez P,Macchiavelli R,2000,1
L A Lopez P,Tempelman R,2000,1
R D Guevara,Brockwell P J,2000,3
R D Guevara,Guevara R D,2000,3
R D Guevara,Vargas J A,2000,1
R D Guevara,Yeung A,2000,2
R D Guevara,Zhang N F,2000,2
S Yañez,Granada R A,2000,2
S Yañez,Lu C J,2000,1
R A Granada,Chao M T,2000,1
R A Granada,Lu C J,2000,1
R A Granada,Escobar L A,2000,2
R A Granada,R Development Core Team,2000,1
R A Granada,Venables W N,2000,1
A Garcia Hiernaux,Akaike H A,2000,1
A Garcia Hiernaux,Dickey D A,2000,1
A Garcia Hiernaux,Fuller W A,2000,1
A Garcia Hiernaux,Van Overschee P,2000,2
A Garcia Hiernaux,Flôres R G,2000,1
A Garcia Hiernaux,Preumont P Y,2000,1
A Garcia Hiernaux,Ho B,2000,1
A Garcia Hiernaux,Hurvich C,2000,1
A Garcia Hiernaux,Larimore W E,2000,2
A Garcia Hiernaux,Martín Manjón R,2000,1
A Garcia Hiernaux,Phillips P B C,2000,1
A Garcia Hiernaux,Tiao G C,2000,1
J Casals,Akaike H A,2000,1
J Casals,Bauer D,2000,3
J Casals,Wagner M,2000,1
J Casals,Bengtsson T,2000,1
J Casals,Dickey D A,2000,1
J Casals,Eckart C,2000,1
J Casals,Szafarz A,2000,1
J Casals,García Hiernaux A,2000,1
J Casals,Kalman R E,2000,1
J Casals,Viberg M,2000,1
M Jerez,Jorion P,2000,2
M Jerez,Akaike H A,2000,1
M Jerez,Bauer D,2000,3
M Jerez,Wagner M,2000,1
M Jerez,Bengtsson T,2000,1
M Jerez,Jerez M,2000,1
M Jerez,Chui N L C,2000,1
M Jerez,Hurvich C,2000,1
M Jerez,Shumway R H,2000,1
M Jerez,Larimore W E,2000,2
M Jerez,Poskitt D S,2000,2
M Jerez,Treadway A,2000,1
M Jerez,Durlauf N S,2000,1
M Jerez,Terceiro J,2000,1
M Jerez,Tsay R S,2000,1
B Abraham,Hoadley A B,2000,1
B Abraham,Hogg R V,2000,1
B Abraham,Vere Jones D,2000,1
B Abraham,Wild C J,2000,1
H A Lopez,Du Merle O,2000,1
H M Mora,López H,2000,2
L A Lopez P,Gaona B L,2000,1
L A Lopez P,Henderson C R,2000,2
L A Lopez P,Jennrich R I,2000,1
L A Lopez P,Mclean R A,2000,1
D C Franco,Andreoni S,2000,1
