Titulo_Art,Procedencia_Art,Año_Art,Titulo_Ref,Procedencia_Ref,Año_Ref,Decada,Año_Art_Num,Año_Ref_Num,Dif_Años
Procedimiento Y Algoritmo De Estimación En Modelos Multinivel Para Proporciones,Revista Estadística de Colombia,2010,An Introduction To Multivariate Statistical Analysis,Wiley,1958,2010,2010,1958.0,52.0
Procedimiento Y Algoritmo De Estimación En Modelos Multinivel Para Proporciones,Revista Estadística de Colombia,2010,Empirical Bayes Methods For Combining Likelihoods,Journal Of The American Statistical Association,1996,2010,2010,1996.0,14.0
Procedimiento Y Algoritmo De Estimación En Modelos Multinivel Para Proporciones,Revista Estadística de Colombia,2010,A Usert’S Guide To Mlwin,Institute Of Education,1998,2010,2010,1998.0,12.0
Procedimiento Y Algoritmo De Estimación En Modelos Multinivel Para Proporciones,Revista Estadística de Colombia,2010,Analysis Of Ulcer Data Using Hierarchical Generalized Linear Models,Statistics In Medicine,2002,2010,2010,2002.0,8.0
Propuesta De Una Prueba De Rachas Recortada Para Hipótesis De Simetría,Revista Estadística de Colombia,2010,A Modied Sign Test For Symmetry,Communications In Statistics - Simulation And Computation,2004,2010,2010,2004.0,6.0
Propuesta De Una Prueba De Rachas Recortada Para Hipótesis De Simetría,Revista Estadística de Colombia,2010,One-Sample Runs Test Of Symmetry,Journal Of Statistical Planning And Inference,1988,2010,2010,1988.0,22.0
Propuesta De Una Prueba De Rachas Recortada Para Hipótesis De Simetría,Revista Estadística de Colombia,2010,Verallgemeinerte Runtests Für Lage- Und Skalenalternativen,Universität Dortmund,1989,2010,2010,1989.0,21.0
Propuesta De Una Prueba De Rachas Recortada Para Hipótesis De Simetría,Revista Estadística de Colombia,2010,Nonparametric Statistical Inference,Crc Press Company,1992,2010,2010,1992.0,18.0
Propuesta De Una Prueba De Rachas Recortada Para Hipótesis De Simetría,Revista Estadística de Colombia,2010,Statistical Inference Based On Ranks,John Wiley & Sons,1984,2010,2010,1984.0,26.0
Propuesta De Una Prueba De Rachas Recortada Para Hipótesis De Simetría,Revista Estadística de Colombia,2010,A Distribution-Free Test For Symmetry Based On A Runs Statistic,Journal Of The American Statistical Association,1990,2010,2010,1990.0,20.0
Propuesta De Una Prueba De Rachas Recortada Para Hipótesis De Simetría,Revista Estadística de Colombia,2010,Hybrid Test For The Hypothesis Of Symmetry,Journal Of Applied Statistic,1998,2010,2010,1998.0,12.0
Verificación Y Monitoreo De La Aleatoriedad De Los Juegos De Números De D Dígitos,Revista Estadística de Colombia,2010,Estimating The Frequency Distribution Of The Numbers Bet On The California Lottery,Applied Mathematics And Computation,1995,2010,2010,1995.0,15.0
Verificación Y Monitoreo De La Aleatoriedad De Los Juegos De Números De D Dígitos,Revista Estadística de Colombia,2010,Control Estadístico De Calidad Y Seis Sigma Segunda Edn,Mcgraw Hills Publication Company,2009,2010,2010,2009.0,1.0
Verificación Y Monitoreo De La Aleatoriedad De Los Juegos De Números De D Dígitos,Revista Estadística de Colombia,2010,An Ordering Of Dependence For Distribution Of K-Tuples With Applications To Lotto Games,The Canadian Journal Of Statistics,1987,2010,2010,1987.0,23.0
Verificación Y Monitoreo De La Aleatoriedad De Los Juegos De Números De D Dígitos,Revista Estadística de Colombia,2010,Tests Of Uniformity For Sets Of Lotto Numbers,Statistics And Probability Letters,1993,2010,2010,1993.0,17.0
Verificación Y Monitoreo De La Aleatoriedad De Los Juegos De Números De D Dígitos,Revista Estadística de Colombia,2010,Reports On The Randomness Of Uk Lottery Games,Http://Www Natlotcomm Gov Uk,2002,2010,2010,2002.0,8.0
Verificación Y Monitoreo De La Aleatoriedad De Los Juegos De Números De D Dígitos,Revista Estadística de Colombia,2010,Managing Risk In A Four-Digit Number Game,Siam Review,2002,2010,2010,2002.0,8.0
Verificación Y Monitoreo De La Aleatoriedad De Los Juegos De Números De D Dígitos,Revista Estadística de Colombia,2010,Randomness Of Thunderball Draws,Centre For The Study Of Gambling,2005,2010,2010,2005.0,5.0
The Size Problem Of Bootstrap Tests When The Null Is Non- Or Semiparametric,Revista Estadística de Colombia,2010,Subsampling Cube Root Asymptotics With An Application To Manski’S Mse,Economics Letters,2001,2010,2010,2001.0,9.0
The Size Problem Of Bootstrap Tests When The Null Is Non- Or Semiparametric,Revista Estadística de Colombia,2010,Comparing Nonparametric Versus Parametric Regression Fits,Annals Of Statistics,1993,2010,2010,1993.0,17.0
The Size Problem Of Bootstrap Tests When The Null Is Non- Or Semiparametric,Revista Estadística de Colombia,2010,Semiparametric Comparison Of Regression Curves,Annals Of Statistics,1990,2010,2010,1990.0,20.0
The Size Problem Of Bootstrap Tests When The Null Is Non- Or Semiparametric,Revista Estadística de Colombia,2010,Adaptive Hypothesis Testing Using Wavelets,Annals Of Statistics,1996,2010,2010,1996.0,14.0
Una Extensión De La Distribución Weibull De Dos Parámetros,Revista Estadística de Colombia,2010,Understanding Some Long-Tailed Symmetrical Distribution,Statistics Neerlandia,1972,2010,2010,1972.0,38.0
Una Extensión De La Distribución Weibull De Dos Parámetros,Revista Estadística de Colombia,2010,The Multivariate Skew-Slash Distribution,Journal Of Statistical Planning And Inference,2006,2010,2010,2006.0,4.0
Análisis De Correspondencias A Partir De Una Muestra Probabilística,Revista Estadística de Colombia,2010,The Jackknife And Bootstrap,Springer-Verlag,1995,2010,2010,1995.0,15.0
Una Revisión De Los Algoritmos De Partición Más Comunes En El Análisis De Conglomerados: Un Estudio Comparativo,Revista Estadística de Colombia,2010,Clustering Analysis For Data Mining And System Identification,Birkhäuser Verlag,2007,2010,2010,2007.0,3.0
Una Revisión De Los Algoritmos De Partición Más Comunes En El Análisis De Conglomerados: Un Estudio Comparativo,Revista Estadística de Colombia,2010,Adapting K-Medians To Generate Normalized Cluster Centers In Proceedings Of The 2006 Siam International Conference On Data Mining,Bethesda,2006,2010,2010,2006.0,4.0
Una Revisión De Los Algoritmos De Partición Más Comunes En El Análisis De Conglomerados: Un Estudio Comparativo,Revista Estadística de Colombia,2010,Clustering Mixed Numerical And Low Quality Categorical Data: Significance Metrics On A Yeast Example In Acm Sigmod Workshop On Information Quality In Information Systems,Iqis 2005 Statistics Clustering Session,2006,2010,2010,2006.0,4.0
Una Revisión De Los Algoritmos De Partición Más Comunes En El Análisis De Conglomerados: Un Estudio Comparativo,Revista Estadística de Colombia,2010,A Simple And Fast Algorithm For K-Medoids Clustering,Expert Systems With Applications,2009,2010,2010,2009.0,1.0
Una Revisión De Los Algoritmos De Partición Más Comunes En El Análisis De Conglomerados: Un Estudio Comparativo,Revista Estadística de Colombia,2010,Clustering Algorithms,John Wiley & Sons,1975,2010,2010,1975.0,35.0
Una Revisión De Los Algoritmos De Partición Más Comunes En El Análisis De Conglomerados: Un Estudio Comparativo,Revista Estadística de Colombia,2010,Improving K-Modes Algorithm Considering Frequencies Of Attribute Values In Mode Of Lecture Notes In Computer Science,Springer,2005,2010,2010,2005.0,5.0
Una Revisión De Los Algoritmos De Partición Más Comunes En El Análisis De Conglomerados: Un Estudio Comparativo,Revista Estadística de Colombia,2010,Comparing Partitions,Journal Of Classification,1985,2010,2010,1985.0,25.0
Una Revisión De Los Algoritmos De Partición Más Comunes En El Análisis De Conglomerados: Un Estudio Comparativo,Revista Estadística de Colombia,2010,Algoritmos De Partición En El Análisis De Conglomerados: Un Estudio Comparativo,Universidad De Santiago De Chile,2008,2010,2010,2008.0,2.0
Una Revisión De Los Algoritmos De Partición Más Comunes En El Análisis De Conglomerados: Un Estudio Comparativo,Revista Estadística de Colombia,2010,Análisis De Datos Multivariantes,Mcgraw Hills Publication Company,2002,2010,2010,2002.0,8.0
Una Revisión De Los Algoritmos De Partición Más Comunes En El Análisis De Conglomerados: Un Estudio Comparativo,Revista Estadística de Colombia,2010,Sas/Stat 9 2 User’S Guide,SAS Institute,2008,2010,2010,2008.0,2.0
On The Student-T Mixture Inverse Gaussian Model With An Application To Protein Production,Revista Estadística de Colombia,2011,Assessing The Accuracy Of The Maximum Likelihood Estimator: Observed Vs Expected Fisher Information,Biometrika,1978,2010,2011,1978.0,33.0
On The Student-T Mixture Inverse Gaussian Model With An Application To Protein Production,Revista Estadística de Colombia,2011,Continuous Univariate Distributions,John Wiley & Sons,1994,2010,2011,1994.0,17.0
On The Student-T Mixture Inverse Gaussian Model With An Application To Protein Production,Revista Estadística de Colombia,2011,M-Procedures In The General Multivariate Nonlinear Regression Model,Pakistan Journal Of Statistics,2010,2010,2011,2010.0,1.0
On The Student-T Mixture Inverse Gaussian Model With An Application To Protein Production,Revista Estadística de Colombia,2011,A Robust Procedure In Nonlinear Models For Repeated Measurements,Communication In Statistics – Theory And Methods,2009,2010,2011,2009.0,2.0
On The Student-T Mixture Inverse Gaussian Model With An Application To Protein Production,Revista Estadística de Colombia,2011,The Inverse Gaussian Distribution: A Case Study In Exponential Families,Clarendon Press Oxford University,1993,2010,2011,1993.0,18.0
On The Student-T Mixture Inverse Gaussian Model With An Application To Protein Production,Revista Estadística de Colombia,2011,The Inverse Gaussian Distribution: Statistical Theory And Applications,Springer,1999,2010,2011,1999.0,12.0
"Determinantes Socioeconómicos De La Mortalidad Infantil En Colombia, 1993 Socioeconomic Determinants Of Infant Mortality In Colombia, 1993",Revista Estadística de Colombia,2011,La Mortalidad En Colombia 1970-1982,In M,1982,2010,2011,1982.0,29.0
"Determinantes Socioeconómicos De La Mortalidad Infantil En Colombia, 1993 Socioeconomic Determinants Of Infant Mortality In Colombia, 1993",Revista Estadística de Colombia,2011,Methods For Estimating Fertility And Mortality From Limited And Defective Data,Carolina Population Center Laboratories For Population Statistics,1975,2010,2011,1975.0,36.0
"Determinantes Socioeconómicos De La Mortalidad Infantil En Colombia, 1993 Socioeconomic Determinants Of Infant Mortality In Colombia, 1993",Revista Estadística de Colombia,2011,Childhood Mortality Estimated From Reports On Previous Births Given By Mothers At The Time Of A Maternity I: Preceding Birth Technique,Centre For Population Studies,1985,2010,2011,1985.0,26.0
"Determinantes Socioeconómicos De La Mortalidad Infantil En Colombia, 1993 Socioeconomic Determinants Of Infant Mortality In Colombia, 1993",Revista Estadística de Colombia,2011,Contexto Socioeconómico Y Causa Del Descenso De La Mortalidad Infantil En Chile,Documento De Trabajo 28 Centro De Estudios Públicos Santiago De Chile,1994,2010,2011,1994.0,17.0
"Determinantes Socioeconómicos De La Mortalidad Infantil En Colombia, 1993 Socioeconomic Determinants Of Infant Mortality In Colombia, 1993",Revista Estadística de Colombia,2011,Regional Model Life Tables And Stable Populations,Princeton University Press,1966,2010,2011,1966.0,45.0
"Determinantes Socioeconómicos De La Mortalidad Infantil En Colombia, 1993 Socioeconomic Determinants Of Infant Mortality In Colombia, 1993",Revista Estadística de Colombia,2011,Las Transformaciones Sociodemográficas En Colombia Durante El Siglo Xx,Banco De La República De Colombia,2000,2010,2011,2000.0,11.0
"Determinantes Socioeconómicos De La Mortalidad Infantil En Colombia, 1993 Socioeconomic Determinants Of Infant Mortality In Colombia, 1993",Revista Estadística de Colombia,2011,Cyclicality Mortality And The Value Of Time: The Case Of Coffee Price Fluctuations And Child Survival In Colombia,Journal Of Political Economy,2010,2010,2011,2010.0,1.0
"Determinantes Socioeconómicos De La Mortalidad Infantil En Colombia, 1993 Socioeconomic Determinants Of Infant Mortality In Colombia, 1993",Revista Estadística de Colombia,2011,Studying The Impact Of Household Economic And Community Variables On Child Mortality,Population And Development Review,1984,2010,2011,1984.0,27.0
"Determinantes Socioeconómicos De La Mortalidad Infantil En Colombia, 1993 Socioeconomic Determinants Of Infant Mortality In Colombia, 1993",Revista Estadística de Colombia,2011,Efecto Del Descenso De La Fecundidad En La Mortalidad Infantil,Estudios Sobre Mortalidad Y Salud Infantil,1988,2010,2011,1988.0,23.0
"Determinantes Socioeconómicos De La Mortalidad Infantil En Colombia, 1993 Socioeconomic Determinants Of Infant Mortality In Colombia, 1993",Revista Estadística de Colombia,2011,Levels And Recent Trends In Fertility And Mortality In Colombia,National Academy Press,1982,2010,2011,1982.0,29.0
A Bayesian Analysis In The Presence Of Covariates For Multivariate Survival Data: An Example Of Application,Revista Estadística de Colombia,2011,A Monte Carlo Method For Bayesian Inference In Frailty Models,Biometrics,1991,2010,2011,1991.0,20.0
A Bayesian Analysis In The Presence Of Covariates For Multivariate Survival Data: An Example Of Application,Revista Estadística de Colombia,2011,Multivariate Generalizations Of The Proportionalhazards Model,Journal of The Royal Statistical Society,1985,2010,2011,1985.0,26.0
A Bayesian Analysis In The Presence Of Covariates For Multivariate Survival Data: An Example Of Application,Revista Estadística de Colombia,2011,Analysis Of Survival Data,Chapman & Hall,1984,2010,2011,1984.0,27.0
A Bayesian Analysis In The Presence Of Covariates For Multivariate Survival Data: An Example Of Application,Revista Estadística de Colombia,2011,Inference From Iterative Simulation Using Multiple Sequences (With Discussion),Statistical Science,1992,2010,2011,1992.0,19.0
A Bayesian Analysis In The Presence Of Covariates For Multivariate Survival Data: An Example Of Application,Revista Estadística de Colombia,2011,Nonparametric Bayesian Analysis Of Survival Time Data,Journal of The Royal Statistical Society,1978,2010,2011,1978.0,33.0
A Bayesian Analysis In The Presence Of Covariates For Multivariate Survival Data: An Example Of Application,Revista Estadística de Colombia,2011,Regression With Frailty In Survival Analysis,Biometrics,1991,2010,2011,1991.0,20.0
A Bayesian Analysis In The Presence Of Covariates For Multivariate Survival Data: An Example Of Application,Revista Estadística de Colombia,2011,Semiparametric Inference In A Model For Association In Bivariate Survival Data,Biometrika,1986,2010,2011,1986.0,25.0
A Bayesian Analysis In The Presence Of Covariates For Multivariate Survival Data: An Example Of Application,Revista Estadística de Colombia,2011,Bivariate Survival Models Induced By Frailties,Journal Of The American Statistical Association,1989,2010,2011,1989.0,22.0
A Bayesian Analysis In The Presence Of Covariates For Multivariate Survival Data: An Example Of Application,Revista Estadística de Colombia,2011,A Method For Discriminating Between Failure Density Functions Used In Reliability Predictions,Tecnometrics,1965,2010,2011,1965.0,46.0
A Bayesian Analysis In The Presence Of Covariates For Multivariate Survival Data: An Example Of Application,Revista Estadística de Colombia,2011,Bayesian Measures Of Model Complexity And Fit (With Discussion),Journal of The Royal Statistical Society,2002,2010,2011,2002.0,9.0
A Bayesian Analysis In The Presence Of Covariates For Multivariate Survival Data: An Example Of Application,Revista Estadística de Colombia,2011,Parameter Estimation For A Generalized Gamma Distribution,Tecnometrics,1965,2010,2011,1965.0,46.0
Validación De La Escala De Actitudes Hacia La Estadística En Estudiantes Españoles De Ciencias De La Actividad Física Y Del Deporte,Revista Estadística de Colombia,2011,Las Actitudes Hacia La Matemática-Estadística En Las Enseñanzas Medias Y Universitarias,Mensajero,1992,2010,2011,1992.0,19.0
Validación De La Escala De Actitudes Hacia La Estadística En Estudiantes Españoles De Ciencias De La Actividad Física Y Del Deporte,Revista Estadística de Colombia,2011,Mil Y Una Dimensiones Del Aprendizaje De La Estadística,Estadística Española,2001,2010,2011,2001.0,10.0
Validación De La Escala De Actitudes Hacia La Estadística En Estudiantes Españoles De Ciencias De La Actividad Física Y Del Deporte,Revista Estadística de Colombia,2011,Una Revisión De Las Evidencias De Fiabilidad Y Validez De Los Cuestionarios De Actitudes Y Ansiedad Hacia La Estadística,Statistics Education Research Journal,2004,2010,2011,2004.0,7.0
Validación De La Escala De Actitudes Hacia La Estadística En Estudiantes Españoles De Ciencias De La Actividad Física Y Del Deporte,Revista Estadística de Colombia,2011,Escala De Actitudes Hacia La Estadística,Psicothema,2000,2010,2011,2000.0,11.0
Validación De La Escala De Actitudes Hacia La Estadística En Estudiantes Españoles De Ciencias De La Actividad Física Y Del Deporte,Revista Estadística de Colombia,2011,Un Estudio Comparado De Las Actitudes Hacia La Estadística En Profesores En Formación Y En Ejercicio,Enseñanza De Las Ciencias,2004,2010,2011,2004.0,7.0
Validación De La Escala De Actitudes Hacia La Estadística En Estudiantes Españoles De Ciencias De La Actividad Física Y Del Deporte,Revista Estadística de Colombia,2011,"Goals And Perceived Ability: Impact On Student Valuing, Self-Regulation And Persistence",Contemporary Educational Psychology,2007,2010,2011,2007.0,4.0
Validación De La Escala De Actitudes Hacia La Estadística En Estudiantes Españoles De Ciencias De La Actividad Física Y Del Deporte,Revista Estadística de Colombia,2011,Construcción De Escalas De Actitud Tipo Likert,La Muralla,2003,2010,2011,2003.0,8.0
Validación De La Escala De Actitudes Hacia La Estadística En Estudiantes Españoles De Ciencias De La Actividad Física Y Del Deporte,Revista Estadística de Colombia,2011,Actitudes Hacia La Estadística Y Su Relación Con Otras Variables En Alumnos Universitarios Del Área De Las Ciencias Sociales,Universidad Pontificia De Comillas,2002,2010,2011,2002.0,9.0
Validación De La Escala De Actitudes Hacia La Estadística En Estudiantes Españoles De Ciencias De La Actividad Física Y Del Deporte,Revista Estadística de Colombia,2011,Statistics Anxiety: Nature Etiology Antecedents Effects And Treatments A Comprehensive Review Of The Literature,Teaching In Higher Education,2003,2010,2011,2003.0,8.0
Validación De La Escala De Actitudes Hacia La Estadística En Estudiantes Españoles De Ciencias De La Actividad Física Y Del Deporte,Revista Estadística de Colombia,2011,The Development And Validation Of A Scale Measurement Attitudes Toward Statistics,Educational And Psychological Measurement,1985,2010,2011,1985.0,26.0
A Probability Model For The Child Mortality In A Family,Revista Estadística de Colombia,2010,"A Nested Frailty Model For Survival Data, With An Application To The Study Of Child Survival In North East Brazil",Journal Of The American Statistical Association,1997,2010,2010,1997.0,13.0
Distribución De Probabilidad Que Involucra Algunas Funciones Hipergeométricas Generalizadas,Revista Estadística de Colombia,2010,A Handbook Of Special Functions For Statistical And Physical Sciences,Clarendon Press Oxford University,1993,2010,2010,1993.0,17.0
Testing Linearity Against A Univariate Tar Specification In Time Series With Missing Data,Revista Estadística de Colombia,2011,Time Series: Theory And Methods,Springer-Verlag,1991,2010,2011,1991.0,20.0
Testing Linearity Against A Univariate Tar Specification In Time Series With Missing Data,Revista Estadística de Colombia,2011,Markov Chain Monte Carlo In Conditionally Gaussian State Space Models,Biometrika,1996,2010,2011,1996.0,15.0
Testing Linearity Against A Univariate Tar Specification In Time Series With Missing Data,Revista Estadística de Colombia,2011,Estimation Control And The Discrete Kalman Filter,Springer-Verlag,1989,2010,2011,1989.0,22.0
Testing Linearity Against A Univariate Tar Specification In Time Series With Missing Data,Revista Estadística de Colombia,2011,Estimation Prediction And Interpolation For Nonstationary Series With The Kalman Filter,Journal Of The American Statistical Association,1994,2010,2011,1994.0,17.0
Testing Linearity Against A Univariate Tar Specification In Time Series With Missing Data,Revista Estadística de Colombia,2011,Dynamic Linear Models With Switching,Journal Of The American Statistical Association,1991,2010,2011,1991.0,20.0
Testing Linearity Against A Univariate Tar Specification In Time Series With Missing Data,Revista Estadística de Colombia,2011,On Tests For Self-Exciting Threshold Autoregressive Non-Linearity In Partially Observed Time Series,Applied Statistics,1991,2010,2011,1991.0,20.0
Testing Linearity Against A Univariate Tar Specification In Time Series With Missing Data,Revista Estadística de Colombia,2011,Threshold Autoregressive Modeling In Continuous Time,Statistica Sinica,1991,2010,2011,1991.0,20.0
Testing Linearity Against A Univariate Tar Specification In Time Series With Missing Data,Revista Estadística de Colombia,2011,Testing For Nonlinearity With Partially Observed Time Series,Biometrika,2000,2010,2011,2000.0,11.0
Análisis Bayesiano Para La Distribución Lognormal Generalizada Aplicada A Modelos De Falla Con Censura,Revista Estadística de Colombia,2011,Generalized Log-Normal Distributions With Reliability Application,Computational Statistics And Data Analysis,1995,2010,2011,1995.0,16.0
Análisis Bayesiano Para La Distribución Lognormal Generalizada Aplicada A Modelos De Falla Con Censura,Revista Estadística de Colombia,2011,Survival Analysis: Techniques For Censored And Truncated Data,Springer-Verlag,2003,2010,2011,2003.0,8.0
Análisis Bayesiano Para La Distribución Lognormal Generalizada Aplicada A Modelos De Falla Con Censura,Revista Estadística de Colombia,2011,Lower Bounds On Reliability In The Lognormal Distribution,The Canadian Journal Of Statistics,1983,2010,2011,1983.0,28.0
Análisis Bayesiano Para La Distribución Lognormal Generalizada Aplicada A Modelos De Falla Con Censura,Revista Estadística de Colombia,2011,Full Posterior Analysis Of Three Parameter Lognormal Distribution Using Gibbs Sampler,Journal Of Statistical Computation And Simulation,2001,2010,2011,2001.0,10.0
Análisis Bayesiano Para La Distribución Lognormal Generalizada Aplicada A Modelos De Falla Con Censura,Revista Estadística de Colombia,2011,Posterior Analysis Of Lognormal Regressions Models Using The Gibbs Sampler,Statistical Papers,2008,2010,2011,2008.0,3.0
Donde Se Muestran Algunos Resultados De Atribución De Autor En Torno A La Obra Cervantina,Revista Estadística de Colombia,2011,Multivariate Analysis And Study Of Style Variation,Literacy And Linguistic Computing,2002,2010,2011,2002.0,9.0
Donde Se Muestran Algunos Resultados De Atribución De Autor En Torno A La Obra Cervantina,Revista Estadística de Colombia,2011,Multivariate Descriptive Statistical Analysis,John Wiley & Sons,1984,2010,2011,1984.0,27.0
Donde Se Muestran Algunos Resultados De Atribución De Autor En Torno A La Obra Cervantina,Revista Estadística de Colombia,2011,Pattern Recognition And Neural Networks,Cambridge University,1996,2010,2011,1996.0,15.0
Donde Se Muestran Algunos Resultados De Atribución De Autor En Torno A La Obra Cervantina,Revista Estadística de Colombia,2011,Modern Applied Statistics With S,Springer,2002,2010,2011,2002.0,9.0
Comparación De Intervalos De Confianza Para La Función De Supervivencia Con Censura A Derecha,Revista Estadística de Colombia,2011,An Empirical Transition Matrix For Nonhomogeneus Markov Chains Based On Censored Observations,Scandinavian Journal Of Statistics,1978,2010,2011,1978.0,33.0
Comparación De Intervalos De Confianza Para La Función De Supervivencia Con Censura A Derecha,Revista Estadística de Colombia,2011,The Natural Duration Of Cancer,Reports On Public Health And Medical Subjects,1926,2010,2011,1926.0,85.0
Comparación De Intervalos De Confianza Para La Función De Supervivencia Con Censura A Derecha,Revista Estadística de Colombia,2011,Hazard Plotting For Incomplete Failure Data,Journal Of Quality Technology,1969,2010,2011,1969.0,42.0
Nonparametric Cutoff Point Estimation For Diagnostic Decisions With Weighted Errors,Revista Estadística de Colombia,2011,An Experimental Comparison Of Cross-Validation Techniques For Estimating The Area Under The Roc Curve,Computational Statistics And Data Analysis,2011,2010,2011,2011.0,0.0
Nonparametric Cutoff Point Estimation For Diagnostic Decisions With Weighted Errors,Revista Estadística de Colombia,2011,Exact Confidence Interval Estimation For The Youden Index And Its Corresponding Optimal Cut-Point,Computational Statistics And Data Analysis,2011,2010,2011,2011.0,0.0
Nonparametric Cutoff Point Estimation For Diagnostic Decisions With Weighted Errors,Revista Estadística de Colombia,2011,Using Auc And Accuracy In Evaluating Learning Algorithms,Ieee Transactions On Knowledge And Data Engineering,2005,2010,2011,2005.0,6.0
Nonparametric Cutoff Point Estimation For Diagnostic Decisions With Weighted Errors,Revista Estadística de Colombia,2011,The Kernel Distribution Estimator Of Functions Of Random Variables,Journal Of Non Parametric Statistics,2005,2010,2011,2005.0,6.0
Nonparametric Cutoff Point Estimation For Diagnostic Decisions With Weighted Errors,Revista Estadística de Colombia,2011,Weak And Strong Uniform Consistency Of The Density Estimation And Its Derivatives,Annals Of Statistics,1978,2010,2011,1978.0,33.0
Nonparametric Cutoff Point Estimation For Diagnostic Decisions With Weighted Errors,Revista Estadística de Colombia,2011,Statistical Methods Diagnostic Medicine,John Wiley & Sons,2002,2010,2011,2002.0,9.0
Nuevas Cartas De Control Basadas En La Distribución Birnbaum-Saunders Y Su Implementación,Revista Estadística de Colombia,2011,"Mixture Inverse Gaussian Distribution And Its Transformations, Moments And Applications",Statistics,2009,2010,2011,2009.0,2.0
Nuevas Cartas De Control Basadas En La Distribución Birnbaum-Saunders Y Su Implementación,Revista Estadística de Colombia,2011,Stochastic Models Of Failure In Random Environments,Canadian Journal Of Statistics,1985,2010,2011,1985.0,26.0
Nuevas Cartas De Control Basadas En La Distribución Birnbaum-Saunders Y Su Implementación,Revista Estadística de Colombia,2011,Modified Moment Estimation For The Two-Parameter Birnbaum-Saunders Distribution,Computational Statistics And Data Analysis,2003,2010,2011,2003.0,8.0
Nuevas Cartas De Control Basadas En La Distribución Birnbaum-Saunders Y Su Implementación,Revista Estadística de Colombia,2011,R: A Language And Environment For Statistical Computing,R Foundation For Statistical Computing,2009,2010,2011,2009.0,2.0
Nuevas Cartas De Control Basadas En La Distribución Birnbaum-Saunders Y Su Implementación,Revista Estadística de Colombia,2011,The Lifetime Of A Standby System Of Units Having The Birnbaum-Saunders Distribution,Journal Of Applied Probability,1980,2010,2011,1980.0,31.0
Nuevas Cartas De Control Basadas En La Distribución Birnbaum-Saunders Y Su Implementación,Revista Estadística de Colombia,2011,Ewma Charts For Monitoring The Mean Of Censored Weibull Lifetimes,Journal Of Quality Technology,2004,2010,2011,2004.0,7.0
"Pseudo Stochastic Dominance, Applications",Revista Estadística de Colombia,2011,Cuestiones Notables De Ordenación Estocástica En Optimación Financiera,Universidad Complutense De Madrid,2009,2010,2011,2009.0,2.0
"Pseudo Stochastic Dominance, Applications",Revista Estadística de Colombia,2011,Stochastic Orders,Springer Series In Statistics,2007,2010,2011,2007.0,4.0
On Certain Properties Of A Class Of Bivariate Compound Poisson Distributions And An Application To Earthquake Data,Revista Estadística de Colombia,2011,Prediction Probabilities From Foreshocks,Journal Of Geophysical Research,1991,2010,2011,1991.0,20.0
On Certain Properties Of A Class Of Bivariate Compound Poisson Distributions And An Application To Earthquake Data,Revista Estadística de Colombia,2011,A Global Model For Aftershock Behaviour,World Conference On Earthquake Engineering,2000,2010,2011,2000.0,11.0
On Certain Properties Of A Class Of Bivariate Compound Poisson Distributions And An Application To Earthquake Data,Revista Estadística de Colombia,2011,On Some Extensions Of Panjer’S Class Of Counting Distributions,Astin Bulletin,1992,2010,2011,1992.0,19.0
Hierarchical Design-Based Estimation In Stratified Multipurpose Surveys,Revista Estadística de Colombia,2011,Multilevel Statistical Models,Wiley,2002,2010,2011,2002.0,9.0
Hierarchical Design-Based Estimation In Stratified Multipurpose Surveys,Revista Estadística de Colombia,2011,Multilevel-Model Assisted Generalized Regression Estimators For Domain Estimation,Isi Session,1999,2010,2011,1999.0,12.0
Indexes To Measure Dependence Between Clinical Diagnostic Tests: A Comparative Study,Revista Estadística de Colombia,2011,Bayesian Approaches To Modelling The Conditional Dependence Between Multiple Diagnostic Tests,Biometrics,2001,2010,2011,2001.0,10.0
Indexes To Measure Dependence Between Clinical Diagnostic Tests: A Comparative Study,Revista Estadística de Colombia,2011,Correlation Adjusted Estimation Of Sensitivity And Specificity Of Two Diagnostic Tests,Journal of The Royal Statistical Society,2003,2010,2011,2003.0,8.0
Indexes To Measure Dependence Between Clinical Diagnostic Tests: A Comparative Study,Revista Estadística de Colombia,2011,Some Characteristics Related To The Incidence Of Cardiovascular Disease And Death: 18-Year Follow-Up,The Framinham Study National Institute Of Health,1974,2010,2011,1974.0,37.0
Indexes To Measure Dependence Between Clinical Diagnostic Tests: A Comparative Study,Revista Estadística de Colombia,2011,The Effect Of Conditional Dependence On The Evaluation Of Diagnostic Tests,Biometrics,1985,2010,2011,1985.0,26.0
Comparison Among High Dimensional Covariance Matrix Estimation Methods,Revista Estadística de Colombia,2011,Econometric Analysis Of Realized Covariation: High Frequency Based Covariance Regression And Correlation In Financial Economics,Econometrica,2004,2010,2011,2004.0,7.0
Comparison Among High Dimensional Covariance Matrix Estimation Methods,Revista Estadística de Colombia,2011,Modelling The Coherence In Short-Run Nominal Exchange Rates: A Multivariate Generalized Arch Approach,Journal Of Portfolio Management,1990,2010,2011,1990.0,21.0
Comparison Among High Dimensional Covariance Matrix Estimation Methods,Revista Estadística de Colombia,2011,Statistics For High-Dimensional Data: Methods Theory And Applications,Springer Series In Statistics,2011,2010,2011,2011.0,0.0
Comparison Among High Dimensional Covariance Matrix Estimation Methods,Revista Estadística de Colombia,2011,The Cross-Section Of Expected Stock Returns,Journal Of Financial Economics,1992,2010,2011,1992.0,19.0
