Titulo_Art,Procedencia_Art,Año_Art,Titulo_Ref,Procedencia_Ref,Año_Ref,Decada,Año_Art_Num,Año_Ref_Num,Dif_Años
Procesos Markovianos Del Sistema De Descuentos Y Sobreprimas Para El Seguro De Responsabilidad Civil En Automóviles,Revista Estadística de Colombia,1984,Técnicas De Muestreo,Compañía Editorial Continental,1980,80s,1984,1980.0,4.0
Procesos Markovianos Del Sistema De Descuentos Y Sobreprimas Para El Seguro De Responsabilidad Civil En Automóviles,Revista Estadística de Colombia,1984,An Introduction To Probability Theory And Its Aplications,John Wiley & Sons,1957,80s,1984,1957.0,27.0
Procesos Markovianos Del Sistema De Descuentos Y Sobreprimas Para El Seguro De Responsabilidad Civil En Automóviles,Revista Estadística de Colombia,1984,Stochsttis Theory Or Risk Bussiness,Wiley,1969,80s,1984,1969.0,15.0
Replicaciones Y Submuestras En Un Diseño De Bloques Al Azar Con Efectos Aleatorios,Revista Estadística de Colombia,1984,Diseños Experimentales,,1981,80s,1984,1981.0,3.0
The Use Of Pilot Study Data In The Estimation Of Sample Size,Revista Estadística de Colombia,1985,Statiscal Methods In Medical Research,Wiley,1973,80s,1985,1973.0,12.0
Un Ensayo Clínico De La Quimioterapia En Cáncer Metastatico Del Estomago,Revista Estadística de Colombia,1985,A Confidence Interval For The Median Surv Time,Biometrics,1982,80s,1985,1982.0,3.0
Sobre La Optimizacion De Estimadores De Minino Cuadrado,Revista Estadística de Colombia,1985,The Analysis Of Variance,John Wiley & Sons,1958,80s,1985,1958.0,27.0
Una Aplicación Del Método De Máxima Verosimilitud En Astronomía Galáctica,Revista Estadística de Colombia,1985,Catalogue Of Open Cluster Data,Cds Strasbourg,1981,80s,1985,1981.0,4.0
Una Aplicación Del Método De Máxima Verosimilitud En Astronomía Galáctica,Revista Estadística de Colombia,1985,,Bull Lick Obs,1930,80s,1985,1930.0,55.0
Una Aplicación Del Método De Máxima Verosimilitud En Astronomía Galáctica,Revista Estadística de Colombia,1985,Statiscal Astronomy,Dover Publications,1953,80s,1985,1953.0,32.0
Una Aplicación Del Método De Máxima Verosimilitud En Astronomía Galáctica,Revista Estadística de Colombia,1985,,,1958,80s,1985,1958.0,27.0
Objective Prior Distributions To Estimate The Parameters Of The Poisson-Exponential Distribution,Revista Estadística de Colombia,2023,"Models, Prior Information And Bayesian Analysis",Journal Of Econometrics,1996,2020,2023,1996.0,27.0
An Improved Estimator Of Finite Population Variance Using Two Auxiliary Variable Srs,Revista Estadística de Colombia,2023,Variance Estimation Using Quartiles And Their Functions Of An Auxiliary Variable,International Journal Of Statistics And Applications,2012,2020,2023,2012.0,11.0
